                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0282,                 1.7815,                 1.7314,                0.78959,                 0.4566,                0.44945,                 0.3574,                 1.7724,                 1.4415,                  1.663,             0.00025553,             0.00025553,             0.00025553
                      2,                 2.0152,                  1.617,                 1.7641,                0.85696,                0.38267,                0.42401,                0.31971,                 1.8097,                 1.6938,                 1.6843,             0.00049632,             0.00049632,             0.00049632
                      3,                 2.0131,                 1.5727,                 1.7592,                0.84796,                0.39886,                0.42619,                0.32602,                 1.8013,                 1.3042,                 1.6718,             0.00071072,             0.00071072,             0.00071072
                      4,                 2.0132,                 1.5764,                 1.7667,                0.74031,                0.37066,                0.38696,                0.30327,                  1.763,                 1.6054,                  1.656,             0.00089872,             0.00089872,             0.00089872
                      5,                 2.0449,                 1.5871,                 1.7599,                0.57809,                0.41336,                0.44329,                0.34996,                 1.7749,                 1.4351,                 1.6724,             0.00089102,             0.00089102,             0.00089102
                      6,                 2.0112,                 1.4374,                 1.7584,                0.44388,                 0.5091,                 0.4826,                0.38404,                 1.6908,                 1.2874,                 1.6523,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.9694,                 1.3002,                 1.7461,                0.62349,                0.45713,                0.49061,                0.39084,                 1.7062,                 1.3135,                 1.6458,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.9053,                 1.2166,                 1.7395,                0.59441,                0.57362,                0.51293,                0.41311,                 1.6739,                 1.1534,                 1.6534,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.9592,                 1.1674,                 1.7544,                  0.785,                0.49761,                0.56263,                0.44811,                 1.6354,                 1.2403,                 1.6623,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.8752,                  1.156,                  1.731,                0.73382,                0.55602,                 0.5761,                0.46301,                 1.6537,                  1.086,                 1.6554,             0.00061605,             0.00061605,             0.00061605
                     11,                 1.7527,                 1.0665,                 1.6972,                0.72192,                0.57907,                0.57395,                0.46518,                 1.6003,                 1.0619,                  1.644,             0.00056105,             0.00056105,             0.00056105
                     12,                 1.7765,                 1.0407,                 1.6891,                0.84988,                0.54708,                0.62251,                0.49376,                  1.601,                  1.119,                 1.6378,             0.00050606,             0.00050606,             0.00050606
                     13,                 1.6991,                 1.0102,                 1.6895,                0.81833,                0.61462,                0.64587,                0.52072,                 1.5728,                 1.0127,                 1.6344,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.6699,                0.98856,                 1.7034,                0.85219,                0.59389,                0.66067,                0.52828,                 1.5561,                 1.0373,                 1.6281,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.6643,                0.98284,                 1.6756,                0.87711,                0.58024,                0.68303,                0.54908,                 1.5546,                0.98679,                 1.6276,             0.00034108,             0.00034108,             0.00034108
                     16,                 1.6288,                 0.9554,                  1.688,                0.85964,                0.58536,                0.68254,                0.54532,                 1.5388,                 0.9694,                  1.623,             0.00028608,             0.00028608,             0.00028608
                     17,                 1.6756,                0.93322,                 1.6771,                0.82127,                0.62093,                0.67956,                0.54655,                 1.5368,                0.96875,                 1.6241,             0.00023109,             0.00023109,             0.00023109
                     18,                 1.6173,                0.93079,                  1.672,                0.79631,                0.66947,                0.69601,                0.55342,                 1.5051,                 1.0077,                 1.6175,             0.00017609,             0.00017609,             0.00017609
                     19,                 1.6282,                0.89582,                 1.6751,                0.85035,                0.62822,                 0.7076,                0.57203,                 1.4971,                0.92337,                 1.6152,              0.0001211,              0.0001211,              0.0001211
                     20,                 1.5727,                0.89604,                 1.6637,                0.86238,                0.61142,                0.71619,                0.57871,                 1.4878,                0.92211,                 1.6153,             6.6105e-05,             6.6105e-05,             6.6105e-05
